date,volume,open,close,high,low,adjclose
2018-09-21,0,9.701000213623047,9.701000213623047,9.701000213623047,9.701000213623047,9.701000213623047
2018-09-20,1100,9.720000267028809,9.701000213623047,9.76200008392334,9.701000213623047,9.701000213623047
2018-09-19,103300,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-09-18,0,9.75,9.75,9.75,9.75,9.75
2018-09-17,0,9.75,9.75,9.75,9.75,9.75
2018-09-14,0,9.75,9.75,9.75,9.75,9.75
2018-09-13,400,9.75,9.75,9.75,9.75,9.75
2018-09-12,0,9.75,9.75,9.75,9.75,9.75
2018-09-11,500,9.75,9.75,9.75,9.75,9.75
2018-09-10,400,9.75,9.75,9.75,9.75,9.75
2018-09-07,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-09-06,50000,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-09-05,0,9.75,9.75,9.75,9.75,9.75
2018-09-04,100000,9.75,9.75,9.75,9.75,9.75
2018-08-31,0,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-30,0,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-29,0,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-27,0,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-24,0,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-23,103200,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-22,50000,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-21,150000,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973
2018-08-20,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-17,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-16,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-15,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-14,0,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-13,72500,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809
2018-08-10,75300,9.720000267028809,9.729999542236328,9.729999542236328,9.720000267028809,9.729999542236328
2018-08-09,10500,9.699999809265137,9.720000267028809,9.720000267028809,9.699999809265137,9.720000267028809
2018-08-08,150000,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-08-07,11000,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-08-06,22400,9.699999809265137,9.720000267028809,9.720000267028809,9.699999809265137,9.720000267028809
2018-08-03,15100,9.699999809265137,9.720000267028809,9.720000267028809,9.699999809265137,9.720000267028809
2018-08-02,86000,9.6899995803833,9.699999809265137,9.699999809265137,9.6899995803833,9.699999809265137
2018-08-01,100,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-31,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-30,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-27,300,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-26,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-25,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-24,50000,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-23,29100,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-20,0,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945
2018-07-19,0,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945
2018-07-18,0,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945
2018-07-17,60500,9.720000267028809,9.670000076293945,9.720000267028809,9.649999618530273,9.670000076293945
2018-07-16,0,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-07-13,0,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-07-12,4300,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-07-11,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-10,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-09,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-06,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-05,200,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-03,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-07-02,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-29,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-28,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-27,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-26,1200,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-25,15000,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-22,1000,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-21,0,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945
2018-06-20,0,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945
2018-06-19,1450100,9.680000305175781,9.670000076293945,9.680000305175781,9.670000076293945,9.670000076293945
2018-06-18,509800,9.6899995803833,9.680000305175781,9.6899995803833,9.680000305175781,9.680000305175781
2018-06-14,2600,9.800000190734863,9.670000076293945,9.800000190734863,9.670000076293945,9.670000076293945
2018-06-13,0,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-12,250800,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781
2018-06-11,400000,9.680000305175781,9.670000076293945,9.680000305175781,9.670000076293945,9.670000076293945
2018-06-08,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-06-07,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-06-06,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-06-05,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-06-04,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-06-01,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-05-31,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-05-30,0,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137
2018-05-29,1500,9.680000305175781,9.699999809265137,9.699999809265137,9.65999984741211,9.699999809265137
2018-05-25,0,9.614999771118164,9.614999771118164,9.614999771118164,9.614999771118164,9.614999771118164
2018-05-23,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-22,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-21,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-18,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-17,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-16,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-15,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-14,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-11,0,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-10,250000,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246
2018-05-09,516500,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-08,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-07,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-04,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-03,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-02,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-05-01,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-04-30,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-04-27,0,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727
2018-04-26,403600,9.649999618530273,9.600000381469727,9.6899995803833,9.600000381469727,9.600000381469727
2018-04-25,0,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-04-24,0,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-04-23,0,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273
2018-04-20,600,9.600000381469727,9.649999618530273,9.649999618530273,9.600000381469727,9.649999618530273
2018-04-19,100,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863
2018-04-18,0,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863
2018-04-17,0,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863
2018-04-16,100,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863
